Mailing ID,MailingRefCode,URL Text,Date,Month,Day of Week,Time,Unique Click,Gross Clicks,CTR,CTOR
5654068,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/9/2009,September,Wednesday,6:41 AM,2,6,0.076608784473953%,0.229357798165138%
5655475,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/10/2009,September,Thursday,8:58 AM,6,9,0.023206642256717%,0.195822454308094%
5655476,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/10/2009,September,Thursday,8:59 AM,7,31,0.0778894472361809%,0.558055805580558%
5655477,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/10/2009,September,Thursday,9:00 AM,1,1,0.00728332119446468%,0.0586854460093897%
5655927,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/11/2009,September,Friday,8:15 AM,2,2,0.0082389289392379%,0.0619770684846607%
5658641,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/16/2009,September,Wednesday,10:06 AM,10,14,0.037239985104006%,0.676982591876209%
5660528,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/17/2009,September,Thursday,6:51 AM,5,6,0.0158361486486487%,0.105615208590037%
5662766,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/18/2009,September,Friday,8:14 AM,2,3,0.0342153284671533%,0.196078431372549%
5668932,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/21/2009,September,Monday,4:56 AM,4,8,0.0311441585237669%,0.112391121101433%
5668937,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/21/2009,September,Monday,5:00 AM,2,2,0.0116225011622501%,0.0834724540901503%
5671481,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/22/2009,September,Tuesday,2:55 PM,1,1,0.00522247754334656%,0.0342935528120713%
5673197,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/23/2009,September,Wednesday,4:38 AM,1,1,0.00325150382051699%,0.0128865979381443%
5673199,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/23/2009,September,Wednesday,4:41 AM,2,2,0.0472813238770686%,0.145666423889294%
5674653,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/24/2009,September,Thursday,4:04 AM,1,1,0.207900207900208%,0.50761421319797%
5674747,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/24/2009,September,Thursday,4:55 AM,2,2,0.0370507595405706%,0.100250626566416%
5674769,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/24/2009,September,Thursday,6:01 AM,11,38,0.095993533067246%,0.744368266405485%
5678419,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/25/2009,September,Friday,6:22 AM,1,1,0.00525458462508539%,0.0166223404255319%
5678788,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/25/2009,September,Friday,7:27 AM,7,11,0.0281488305440401%,0.129047395588925%
5686893,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/30/2009,September,Wednesday,3:55 AM,1,1,0.0114495076711701%,0.0831946755407654%
5686902,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/30/2009,September,Wednesday,4:37 AM,1,1,0.0125219133483596%,0.16750418760469%
5687155,no ID,"http://rs.ims.ca/rsemail/privacy.asp",9/30/2009,September,Wednesday,11:31 AM,1,2,0.675675675675676%,12.5%
5687609,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/1/2009,October,Thursday,11:09 AM,5,11,0.0621468926553672%,0.26246719160105%
5691147,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/5/2009,October,Monday,7:28 AM,1,1,0.00986679822397632%,0.0232018561484919%
5691151,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/5/2009,October,Monday,7:36 AM,10,10,0.0342477482105552%,0.345781466113416%
5693134,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/8/2009,October,Thursday,8:07 AM,1,1,0.00466157001678165%,0.0314861460957179%
5693672,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/9/2009,October,Friday,7:22 AM,8,16,0.0163340309325711%,0.116295973251926%
5693808,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/9/2009,October,Friday,1:19 PM,6,6,0.0225946149501036%,0.202429149797571%
5695910,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/12/2009,October,Monday,5:29 AM,8,9,0.0368550368550369%,0.281425891181989%
5703397,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/15/2009,October,Thursday,5:22 AM,2,2,0.0185735512630015%,0.125470514429109%
5709577,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/16/2009,October,Friday,8:07 AM,3,11,0.0966608084358524%,0.437549721559268%
5724957,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/19/2009,October,Monday,8:31 AM,2,2,0.0478240076518412%,0.134680134680135%
5727843,no ID,"http://rs.ims.ca/rsemail/privacy.asp",10/20/2009,October,Tuesday,4:39 AM,3,3,0.0167317345231456%,0.0907715582450832%
